index,sic3,yr,ldsal,lemp,ldnpt,ldrst,ldrnd,ldinv,Wage
256,371,78,5.3603668,1.410987,4.0326009,1.436972,-.040139198,2.41271,21.875
257,366,83,2.8315051,-1.313044,1.07111,.45674819,-.63311827,.40986371,23.625
257,366,88,3.796268,-.47481519,1.840179,1.824998,.9306795,.63145798,28.875
258,264,78,5.6198812,.9932518,3.9956779,1.328492,-.37558809,1.289191,21.875
259,281,73,6.924386,2.2617631,6.172472,4.020052,2.2651949,4.0702348,18.375
260,220,88,3.486413,-1.217396,1.96477,1.851477,-.058694098,.086606003,28.875
261,355,78,4.2797632,-.2484614,2.9819059,1.259201,.017872101,.81984562,21.875
262,357,83,3.933924,.89076781,3.8576519,2.129647,.74946159,2.3751659,23.625
262,357,88,5.513484,1.18326,4.3576941,3.081295,1.997555,3.2965209,28.875
263,291,73,10.09577,3.670435,9.6438112,6.6118112,4.8650489,7.6254749,18.375
263,291,78,10.3571,3.626339,9.7063532,6.7412949,4.991179,7.3567109,21.875
263,291,83,9.7682505,3.6911521,10.14635,6.9959621,5.641325,7.710628,23.625
263,291,88,10.16929,3.9829471,10.12245,7.3553138,5.3031368,8.4716177,28.875
264,354,78,6.3834901,2.2220261,4.8856249,3.8059211,2.036098,3.574523,21.875
264,354,83,5.9642138,1.678404,4.8133831,3.863313,1.897851,1.380428,23.625
265,283,88,3.511672,-.77870512,3.089848,4.138588,3.6245339,2.3982489,28.875
266,347,73,7.2794452,3.091043,6.4639969,2.021091,.97836328,4.9381618,18.375
266,347,78,7.6674118,3.3815391,6.6684308,3.010021,1.73296,4.782279,21.875
267,371,73,10.25608,5.6104021,8.6138239,7.7678242,6.41079,7.3516769,18.375
267,371,78,9.9967346,5.0623288,8.6332903,8.0084639,6.3343558,6.9088001,21.875
267,371,83,9.584424,4.5454202,8.2697353,7.915123,6.0175552,6.9803362,23.625
267,371,88,10.46465,4.9767342,8.9998245,8.1849775,6.746429,7.5811071,28.875
268,284,78,5.0220728,-.70521981,4.2355762,3.256176,1.470364,2.0625081,21.875
269,386,83,2.8597491,-1.80181,-.45927811,1.379681,.64652008,-.86233062,23.625
269,386,88,3.797766,-.731888,1.551982,2.6478789,1.456928,.36375099,28.875
270,354,73,6.8828988,2.6508451,5.5575848,5.0798149,3.298115,4.0988421,18.375
270,354,78,6.902092,2.5936861,5.7683582,5.1145029,3.291517,3.6162291,21.875
270,354,83,6.401638,2.2281849,6.0328178,5.2714572,3.528806,3.284507,23.625
270,354,88,6.7337551,2.124774,5.4204879,5.4097862,3.5294819,3.03988,28.875
271,357,88,5.3719082,.71978909,3.0977409,4.0371399,2.8231599,1.498006,28.875
272,357,88,2.60063,-2.5010359,.045635302,1.822984,.30207089,-.50726521,28.875
273,384,88,3.6566861,-.5412848,2.5427041,2.1354301,1.4016351,-.2445281,28.875
